id,submission_time,vote_number,question_id,message,image
0,1493398154,4,0,"You need to use brackets: my_list = []",
1,1493088154,35,0,"Look it up in the Python docs",3,0,0,0,j,02,0,0,2,"dzxfdcgfvbhnm ,",02,1550676377,0,2,asdfsdasgda,
2,1550676377,0,1,afdasdasdasdasdasdasdasf,
3,1550676377,0,6,adasdasdasdasdasds,4,1550681140,0,2,afafasfdasdf,
4,1550681140,0,2,afafasfdasdf,
5,1550681526,0,2,DADFSDGSSDA,
6,1550681526,0,3,asdafdasgfsad,
7,1550681526,0,3,asdafdasgfsad,
8,1550681526,0,3,asdafdasgfsad,
9,1550725138,0,0,New answer haha,
10,1550725138,0,0,New answer haha,
11,1550726348,0,0,New answer haha,
12,1550755892,0,6,sd<szfds<af<DZZSA<s<dfzgdsa,
